,path,field_change_date_2,field_letter_issue_datetime,field_company_name_warning_lette,field_issuing_office,field_issuing_office_loc_name,field_recipient_office_name,field_building,field_letter_type_1,issuing-recipient-office,field_recipient_state,field_recipient_address_administrative_area,term_node_tid,field_detailed_description_2,field_topics,topics-product,field_letter_issue_datetime_1,field_letter_type,field_associated_for_response_le,field_associated_for_closeout_le,checkresponse,changed,abs_url,company_name
10,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kang-zhang-md-phd-511374-01052017,01/31/2017,01/05/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kang-zhang-md-phd-511374-01052017"">Kang Zhang, M.D., Ph.D.</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,California,California,,Sponsor-Investigator,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 03:03",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kang-zhang-md-phd-511374-01052017,"Kang Zhang, M.D., Ph.D."
11,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/compania-pesquera-charly-sa-dba-copescharly-sa-509797-01052017,01/31/2017,01/05/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/compania-pesquera-charly-sa-dba-copescharly-sa-509797-01052017"">Compania Pesquera Charly, SA dba Copescharly, SA</a>",,Center for Food Safety and Applied Nutrition,,Center for Food Safety and Applied Nutrition,Warning Letter,Center for Food Safety and Applied Nutrition,,,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:57",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/compania-pesquera-charly-sa-dba-copescharly-sa-509797-01052017,"Compania Pesquera Charly, SA dba Copescharly, SA"
12,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cixi-zhixin-bird-clean-care-product-co-ltd-510181-01062017,01/31/2017,01/06/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cixi-zhixin-bird-clean-care-product-co-ltd-510181-01062017"">Cixi Zhixin Bird Clean-Care Product Co., Ltd.</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Finished Pharmaceuticals/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:56",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cixi-zhixin-bird-clean-care-product-co-ltd-510181-01062017,"Cixi Zhixin Bird Clean-Care Product Co., Ltd."
13,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/facta-farmaceutici-spa-495986-01132017,01/31/2017,01/13/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/facta-farmaceutici-spa-495986-01132017"">FACTA Farmaceutici S.p.A.</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Finished Pharmaceuticals/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:55",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/facta-farmaceutici-spa-495986-01132017,FACTA Farmaceutici S.p.A.
14,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unique-encapsulation-technology-llc-506356-01172017,01/31/2017,01/17/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unique-encapsulation-technology-llc-506356-01172017"">Unique EnCapsulation Technology LLC</a>",,New Jersey District Office,,New Jersey District Office,Warning Letter,New Jersey District Office,New Jersey,New Jersey,,CGMP/Dietary Supplement/Adulterated/Misbranded,,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unique-encapsulation-technology-llc-506356-02082019""><time datetime=""2019-05-15T04:00:00Z"">05/15/2019</time>
</a> 
",Closeout Letters,"Tue, 02/25/2020 - 13:05",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/unique-encapsulation-technology-llc-506356-01172017,Unique EnCapsulation Technology LLC
15,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rapid-release-technologies-507144-01172017,01/31/2017,01/17/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rapid-release-technologies-507144-01172017"">Rapid Release Technologies</a>",,Los Angeles District Office,,Los Angeles District Office,Warning Letter,Los Angeles District Office,California,California,,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rapid-release-technologies-507144-09272017""><time datetime=""2017-09-29T07:46:00Z"">09/29/2017</time>
</a> 
",Closeout Letters,"Tue, 03/10/2020 - 15:22",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rapid-release-technologies-507144-01172017,Rapid Release Technologies
16,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rolling-view-farms-515002-01182017,01/31/2017,01/18/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rolling-view-farms-515002-01182017"">Rolling View Farms</a>",,Kansas City District Office,,Kansas City District Office,Warning Letter,Kansas City District Office,Iowa,Iowa,,Illegal Drug Residue Animal Tissue/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:56",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/rolling-view-farms-515002-01182017,Rolling View Farms
17,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ctx-lifesciences-private-ltd-496393-01182017,01/31/2017,01/18/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ctx-lifesciences-private-ltd-496393-01182017"">CTX Lifesciences Private Ltd.</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ctx-lifesciences-private-ltd-496393-10052018""><time datetime=""2018-10-30T04:00:00Z"">10/30/2018</time>
</a> 
",Closeout Letters,"Fri, 10/09/2020 - 11:50",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ctx-lifesciences-private-ltd-496393-01182017,CTX Lifesciences Private Ltd.
18,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fox-ridge-farm-inc-dba-wilsons-orchard-510892-01202017,01/31/2017,01/20/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fox-ridge-farm-inc-dba-wilsons-orchard-510892-01202017"">Fox Ridge Farm, Inc. DBA Wilsons Orchard</a>",,Kansas City District Office,,Kansas City District Office,Warning Letter,Kansas City District Office,Iowa,Iowa,,Juice/HACCP/Adulterated,,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fox-ridge-farm-inc-dba-wilsons-orchard-510892-02262019""><time datetime=""2019-03-11T04:00:00Z"">03/11/2019</time>
</a> 
",Closeout Letters,"Wed, 02/19/2020 - 06:55",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fox-ridge-farm-inc-dba-wilsons-orchard-510892-01202017,"Fox Ridge Farm, Inc. DBA Wilsons Orchard"
19,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nam-nam-inc-ta-sam-sung-tofu-506791-01242017,01/31/2017,01/24/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nam-nam-inc-ta-sam-sung-tofu-506791-01242017"">Nam &amp; Nam, Inc. t/a Sam Sung Tofu</a>",,Baltimore District Office,,Baltimore District Office,Warning Letter,Baltimore District Office,,,,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:56",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/nam-nam-inc-ta-sam-sung-tofu-506791-01242017,"Nam & Nam, Inc. t/a Sam Sung Tofu"
20,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wd-import-and-export-inc-516144-01262017,02/06/2017,01/26/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wd-import-and-export-inc-516144-01262017"">WD Import and Export Inc.</a>",,New York District Office,,New York District Office,Warning Letter,New York District Office,New York,New York,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wd-import-and-export-inc-02132018""><time datetime=""2018-02-16T07:52:00Z"">02/16/2018</time>
</a> 
",Closeout Letters,"Thu, 02/27/2020 - 09:55",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/wd-import-and-export-inc-516144-01262017,WD Import and Export Inc.
21,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/herbal-science-international-inc-505115-01232017,02/07/2017,01/23/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/herbal-science-international-inc-505115-01232017"">Herbal Science International, Inc.</a>",,Los Angeles District Office,,Los Angeles District Office,Warning Letter,Los Angeles District Office,California,California,,CGMP/Dietary Supplement/Adulterated/Misbranded,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 03:06",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/herbal-science-international-inc-505115-01232017,"Herbal Science International, Inc."
22,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pierless-fish-corp-515899-01262017,02/07/2017,01/26/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pierless-fish-corp-515899-01262017"">Pierless Fish Corp.</a>",,New York District Office,,New York District Office,Warning Letter,New York District Office,New York,New York,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:56",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/pierless-fish-corp-515899-01262017,Pierless Fish Corp.
23,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/berkeley-nutritional-mfg-corp-500324-01312017,02/07/2017,01/31/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/berkeley-nutritional-mfg-corp-500324-01312017"">Berkeley Nutritional Mfg Corp.</a>",,San Francisco District Office,,San Francisco District Office,Warning Letter,San Francisco District Office,California,California,"Dietary Supplements, Drugs",CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,,"Dietary Supplements, Drugs",2017,Warning Letter,,,,"Thu, 10/15/2020 - 13:30",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/berkeley-nutritional-mfg-corp-500324-01312017,Berkeley Nutritional Mfg Corp.
24,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mbdr-foods-llc-516352-02032017,02/13/2017,02/03/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mbdr-foods-llc-516352-02032017"">MBDR Foods, LLC</a>",,Kansas City District Office,,Kansas City District Office,Warning Letter,Kansas City District Office,Missouri,Missouri,,Acidified Foods/Prepared Packed or Held Under Insanitary Conditions,,,2017,Warning Letter,,"
<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mbdr-foods-llc-516352-10112017""><time datetime=""2017-10-12T08:00:00Z"">10/12/2017</time>
</a> 
",Closeout Letters,"Thu, 07/30/2020 - 15:11",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mbdr-foods-llc-516352-02032017,"MBDR Foods, LLC"
25,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mama-turneys-homemade-pies-inc-513825-01112017,02/14/2017,01/11/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mama-turneys-homemade-pies-inc-513825-01112017"">Mama Turney&#039;s Homemade Pies, Inc.</a>",,New Orleans District Office,,New Orleans District Office,Warning Letter,New Orleans District Office,Tennessee,Tennessee,,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:58",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mama-turneys-homemade-pies-inc-513825-01112017,"Mama Turney's Homemade Pies, Inc."
26,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zhejiang-bangli-medical-products-co-ltd-510524-01262017,02/14/2017,01/26/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zhejiang-bangli-medical-products-co-ltd-510524-01262017"">Zhejiang Bangli Medical Products Co., Ltd</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Finished Pharmaceuticals/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:55",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/zhejiang-bangli-medical-products-co-ltd-510524-01262017,"Zhejiang Bangli Medical Products Co., Ltd"
27,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bao-international-inc-515749-01302017,02/14/2017,01/30/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bao-international-inc-515749-01302017"">Bao International Inc</a>",,Los Angeles District Office,,Los Angeles District Office,Warning Letter,Los Angeles District Office,,California,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:58",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bao-international-inc-515749-01302017,Bao International Inc
28,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ausmetics-daily-chemicals-guangzhou-co-ltd-510934-01312017,02/14/2017,01/31/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ausmetics-daily-chemicals-guangzhou-co-ltd-510934-01312017"">Ausmetics Daily Chemicals (Guangzhou) Co., Ltd</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Finished Pharmaceuticals/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:58",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ausmetics-daily-chemicals-guangzhou-co-ltd-510934-01312017,"Ausmetics Daily Chemicals (Guangzhou) Co., Ltd"
29,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/life-extension-foundation-buyers-club-inc-500619-02012017,02/14/2017,02/01/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/life-extension-foundation-buyers-club-inc-500619-02012017"">Life Extension Foundation Buyers Club, Inc.</a>",,Florida District Office,,Florida District Office,Warning Letter,Florida District Office,Florida,Florida,,New Drug/Labeling/Misbranded,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 03:00",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/life-extension-foundation-buyers-club-inc-500619-02012017,"Life Extension Foundation Buyers Club, Inc."
30,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sato-pharmaceutical-co-ltd-511905-02022017,02/14/2017,02/02/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sato-pharmaceutical-co-ltd-511905-02022017"">Sato Pharmaceutical Co., Ltd.</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Finished Pharmaceuticals/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 03:02",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/sato-pharmaceutical-co-ltd-511905-02022017,"Sato Pharmaceutical Co., Ltd."
31,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kumato-labs-510068-02032017,02/14/2017,02/03/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kumato-labs-510068-02032017"">Kumato Labs</a>",,Los Angeles District Office,,Los Angeles District Office,Warning Letter,Los Angeles District Office,California,California,,CGMP/Dietary Supplement/Adulterated/Misbranded,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 03:04",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/kumato-labs-510068-02032017,Kumato Labs
32,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/resonance-laboratories-private-limited-511907-02032017,02/14/2017,02/03/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/resonance-laboratories-private-limited-511907-02032017"">Resonance Laboratories Private Limited</a>",,Center for Drug Evaluation and Research,,Center for Drug Evaluation and Research,Warning Letter,Center for Drug Evaluation and Research,,,,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 03:02",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/resonance-laboratories-private-limited-511907-02032017,Resonance Laboratories Private Limited
33,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/southern-aire-seafood-inc-517069-02082017,02/14/2017,02/08/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/southern-aire-seafood-inc-517069-02082017"">Southern Aire Seafood, Inc.</a>",,New Orleans District Office,,New Orleans District Office,Warning Letter,New Orleans District Office,,,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:55",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/southern-aire-seafood-inc-517069-02082017,"Southern Aire Seafood, Inc."
34,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fred-tyler-kamp-516990-02082017,02/14/2017,02/08/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fred-tyler-kamp-516990-02082017"">Fred &amp; Tyler Kamp</a>",,Dallas District Office,,Dallas District Office,Warning Letter,Dallas District Office,,,Animal &amp; Veterinary,New Animal Drug/Adulterated,,Animal &amp; Veterinary,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:59",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/fred-tyler-kamp-516990-02082017,Fred & Tyler Kamp
35,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/humaworm-510114-02082017,02/14/2017,02/08/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/humaworm-510114-02082017"">Humaworm</a>",,New Orleans District Office,,New Orleans District Office,Warning Letter,New Orleans District Office,,,,Unapproved New Drugs/Misbranded,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:55",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/humaworm-510114-02082017,Humaworm
36,/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/besa-ehf-512651-01052017,02/17/2017,01/05/2017,"<a href=""/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/besa-ehf-512651-01052017"">Besa ehf</a>",,Center for Food Safety and Applied Nutrition,,Center for Food Safety and Applied Nutrition,Warning Letter,Center for Food Safety and Applied Nutrition,,,,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,,2017,Warning Letter,,,,"Sat, 12/21/2019 - 02:56",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/besa-ehf-512651-01052017,Besa ehf
